Mean Interarrival Time,Mean Service Time,Number of Terminals,Mean Avg Waiting Time,Std Average Waiting Time,Mean Customers Delayed,Std Customers Delayed,Mean Percentage > 5min Delay,Std Percentage > 5min Delay,Mean Percentage < 4min Delay,Std Percentage < 4min Delay
14,9,3,0,0,70,8,0.7,1.4,99.1,1.6
14,9,4,0,0,70,8,0.1,0.4,99.9,0.4
14,9,5,0,0,69,8,0.0,0.1,100.0,0.1
14,10,1,20,15,68,8,56.7,14.9,41.3,14.4
14,10,2,1,1,69,8,9.3,6.4,89.4,6.7
14,10,3,0,0,69,8,1.2,2.1,98.5,2.3
14,10,4,0,0,69,8,0.1,0.5,99.9,0.5
14,10,5,0,0,69,8,0.0,0.1,100.0,0.2
14,11,1,28,21,66,7,64.1,15.3,34.2,14.8
14,11,2,2,2,69,9,12.1,7.8,86.6,8.0
14,11,3,0,0,69,9,1.8,2.5,97.9,2.7
14,11,4,0,0,69,8,0.2,0.8,99.7,0.9
14,11,5,0,0,69,8,0.0,0.2,100.0,0.2
14,12,1,39,30,65,7,70.6,15.2,28.1,14.7
14,12,2,3,2,69,8,15.3,8.6,83.2,8.8
14,12,3,0,0,69,8,2.3,3.1,97.2,3.3
14,12,4,0,0,70,8,0.3,0.9,99.6,1.0
14,12,5,0,0,69,8,0.0,0.3,100.0,0.4
14,13,1,55,38,63,7,77.4,14.2,21.6,13.6
14,13,2,3,3,69,8,17.6,9.4,80.8,9.7
14,13,3,0,1,69,8,3.3,3.8,96.2,4.0
14,13,4,0,0,69,8,0.5,1.3,99.4,1.4
14,13,5,0,0,70,8,0.1,0.5,99.9,0.6
14,14,1,63,43,62,7,80.2,12.9,18.9,12.3
14,14,2,4,3,69,8,21.3,10.6,77.0,10.7
14,14,3,1,1,69,8,4.1,4.3,95.2,4.6
14,14,4,0,0,69,8,0.6,1.5,99.2,1.8
14,14,5,0,0,70,8,0.1,0.6,99.9,0.7
